 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 2.    Time:  14:40:50
 Units: L = mm   , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

      10.0000 -0.60000E+01  0.60000E+01 -0.60000E+01  0.34602E+01 -0.17119E-09 -0.60000E+02  0.60000E+02 -0.60000E+02  0.30890E+02 -0.17119E-08 -0.37605E+03 -0.36263E+04 -0.10000E+04  0.15259E-04  0.37891E-03  0.10049E+03  0.60000E+02  0.00000E+00   9363  0.00000E+00      0.000
      20.0000 -0.60000E+01  0.60000E+01 -0.59998E+01  0.45550E+01 -0.17119E-09 -0.12000E+03  0.12000E+03 -0.12000E+03  0.71990E+02 -0.34238E-08 -0.37606E+03 -0.26921E+04 -0.10000E+04  0.19026E-03  0.84542E-03  0.11939E+03  0.12000E+03  0.00000E+00  21041  0.00000E+00      0.000
      30.0000 -0.60000E+01  0.60000E+01 -0.60000E+01  0.49415E+01 -0.17119E-09 -0.18000E+03  0.18000E+03 -0.18000E+03  0.11976E+03 -0.51358E-08 -0.37606E+03 -0.20463E+04 -0.10000E+04  0.34332E-04  0.13181E-02  0.13162E+03  0.18000E+03  0.00000E+00  32818  0.00000E+00      0.000
      40.0000 -0.60000E+01  0.60000E+01 -0.59999E+01  0.50875E+01 -0.17119E-09 -0.24000E+03  0.24000E+03 -0.24000E+03  0.17000E+03 -0.68477E-08 -0.37606E+03 -0.14511E+04 -0.10000E+04  0.63419E-04  0.17907E-02  0.14139E+03  0.24000E+03  0.00000E+00  44602  0.00000E+00      0.000
      50.0000 -0.60000E+01  0.60000E+01 -0.59999E+01  0.51201E+01 -0.17119E-09 -0.30000E+03  0.30000E+03 -0.30000E+03  0.22108E+03 -0.85596E-08 -0.37606E+03 -0.92619E+03 -0.10000E+04  0.60558E-04  0.22658E-02  0.15029E+03  0.30000E+03  0.00000E+00  56414  0.00000E+00      0.000
      60.0000 -0.60000E+01  0.60000E+01 -0.60001E+01  0.50898E+01 -0.17119E-09 -0.36000E+03  0.36000E+03 -0.36000E+03  0.27221E+03 -0.10271E-07 -0.37606E+03 -0.41549E+03 -0.10000E+04  0.82016E-04  0.27377E-02  0.15916E+03  0.36000E+03  0.00000E+00  68223  0.00000E+00      0.000
      70.0000 -0.60000E+01  0.60000E+01 -0.59999E+01  0.50522E+01 -0.17119E-09 -0.42000E+03  0.42000E+03 -0.42000E+03  0.32287E+03 -0.11983E-07 -0.37606E+03 -0.41216E+03 -0.10000E+04  0.84400E-04  0.32060E-02  0.16848E+03  0.42000E+03  0.00000E+00  80027  0.00000E+00      0.000
      80.0000 -0.60000E+01  0.60000E+01 -0.60001E+01  0.50505E+01 -0.17119E-09 -0.48000E+03  0.48000E+03 -0.48000E+03  0.37338E+03 -0.13695E-07 -0.37604E+03 -0.41185E+03 -0.10000E+04  0.64850E-04  0.36819E-02  0.17795E+03  0.48000E+03  0.00000E+00  91840  0.00000E+00      0.000
      90.0000 -0.60000E+01  0.60000E+01 -0.60000E+01  0.50505E+01 -0.17119E-09 -0.54000E+03  0.54000E+03 -0.54000E+03  0.42388E+03 -0.15407E-07 -0.37605E+03 -0.41178E+03 -0.10000E+04  0.10967E-04  0.41592E-02  0.18741E+03  0.54000E+03  0.00000E+00 103640  0.00000E+00      0.000
     100.0000 -0.60000E+01  0.60000E+01 -0.60000E+01  0.50504E+01 -0.17119E-09 -0.60001E+03  0.60001E+03 -0.60001E+03  0.47439E+03 -0.17119E-07 -0.37605E+03 -0.41176E+03 -0.10000E+04  0.00000E+00  0.46318E-02  0.19687E+03  0.60001E+03  0.00000E+00 115454  0.00000E+00      0.000
     110.0000 -0.60000E+01  0.60000E+01 -0.60001E+01  0.50504E+01 -0.17119E-09 -0.66001E+03  0.66001E+03 -0.66001E+03  0.52489E+03 -0.18831E-07 -0.37606E+03 -0.41176E+03 -0.10000E+04  0.51498E-04  0.51065E-02  0.20633E+03  0.66001E+03  0.00000E+00 127268  0.00000E+00      0.000
     120.0000 -0.60000E+01  0.60000E+01 -0.59999E+01  0.50504E+01 -0.17119E-09 -0.72002E+03  0.72002E+03 -0.72002E+03  0.57538E+03 -0.20544E-07 -0.37606E+03 -0.41176E+03 -0.10000E+04  0.72479E-04  0.55821E-02  0.21577E+03  0.72002E+03  0.00000E+00 139083  0.00000E+00      0.000
     130.0000 -0.60000E+01  0.60000E+01 -0.60000E+01  0.50504E+01 -0.17119E-09 -0.78003E+03  0.78003E+03 -0.78003E+03  0.62588E+03 -0.22256E-07 -0.37606E+03 -0.41176E+03 -0.10000E+04  0.10014E-04  0.60530E-02  0.22521E+03  0.78003E+03  0.00000E+00 150899  0.00000E+00      0.000
     140.0000 -0.60000E+01  0.60000E+01 -0.60001E+01  0.50504E+01 -0.17018E+00 -0.84003E+03  0.84003E+03 -0.84003E+03  0.67638E+03 -0.22551E-01 -0.37605E+03 -0.41176E+03 -0.47340E+03  0.12302E-03  0.65243E-02  0.23462E+03  0.84003E+03  0.00000E+00 162703  0.00000E+00      0.000
